provider,api_title,doc_url,endpoint,method,category,generation_modes,service_tier,detail_parse_status,source_field,source_type,required,enum_values,default_value,format,description
runninghub,全能视频S-图生视频-支持真人-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766677.md,/openapi/v2/rhart-video-s-official/image-to-video-realistic,post,Video,"[""i2v""]",official_stable,parsed_html,prompt,string,True,[],生成一段视频,,
runninghub,全能视频S-图生视频-支持真人-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766677.md,/openapi/v2/rhart-video-s-official/image-to-video-realistic,post,Video,"[""i2v""]",official_stable,parsed_html,duration,string,True,"[""4"", ""8"", ""12""]",4,,
runninghub,全能视频S-图生视频-支持真人-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766677.md,/openapi/v2/rhart-video-s-official/image-to-video-realistic,post,Video,"[""i2v""]",official_stable,parsed_html,imageUrl,string,True,[],https://www.runninghub.cn/view?filename=310765645fa209c394a6a673da7c69da23acdd8e0de199ae35f1bfc25b461fa9.png&type=input&subfolder=&Rh-Comfy-Auth=eyJ1c2VySWQiOiIzZjY1MTNlNWEwNjY1N2I4OGYyNjU5NTEzYmU3ZDM0YyIsInNpZ25FeHBpcmUiOjE3Njg5MTk3ODAxMzksInRzIjoxNzY4MzE0OTgwMTM5LCJzaWduIjoiYmM2Zjg3MWJjMDIzMDMxNWRmYTJlZWZmODVjMDFmNDAifQ==&Rh-Identify=3f6513e5a06657b88f2659513be7d34c&rand=0.8120873731053279,uri,"支持的文件格式：JPG, PNG."
runninghub,全能视频S-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766678.md,/openapi/v2/rhart-video-s-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,prompt,string,True,[],动作描述： 小狗突然冲向地上的橡胶球，兴奋地用前爪猛拍，接着翻滚扑咬，叼起球后甩头狂摇，最后仰躺在地，四爪紧抱球，欢快地用后腿蹬踹，尾巴高速拍打地板。 环境音效： 小狗发出一连串激动的“汪汪！”（短促、高亢、充满活力）；前爪拍打地板和球的“啪嗒-啪嗒”声；橡胶球被滚动时发出的轻微“咕噜噜”摩擦声；远处壁炉旁老式座钟清晰而规律的“滴答…滴答…”声。 角色发声： （无人类语言，仅包含狗狗的完整声音表现）：兴奋的“嗷呜！嗷呜！”、成功抢到球后喉咙里发出的满足低吼“嗯～～～”，以及用力蹬腿时伴随的一声短促呼气“哈！”,,
runninghub,全能视频S-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766678.md,/openapi/v2/rhart-video-s-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,duration,string,True,"[""4"", ""8"", ""12""]",4,,
runninghub,全能视频S-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766678.md,/openapi/v2/rhart-video-s-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,imageUrl,string,True,[],https://www.runninghub.cn/view?filename=0682559f66cd5fa000f407e6d2cab812381f59fec230618331b8a810f2fe6be3.png&type=input&subfolder=&Rh-Comfy-Auth=eyJ1c2VySWQiOiIzZjY1MTNlNWEwNjY1N2I4OGYyNjU5NTEzYmU3ZDM0YyIsInNpZ25FeHBpcmUiOjE3NjkxNzI5NjYwMTYsInRzIjoxNzY4NTY4MTY2MDE2LCJzaWduIjoiYWJkMTE5MzkzZGRmZmRkYzFlNWZhZTgwMDNkNDgzYzEifQ==&Rh-Identify=3f6513e5a06657b88f2659513be7d34c&rand=0.5705546834574976,uri,"图像尺寸须与模型生成视频长宽比一致（允许的值：720x1280，1280x720） 支持的文件格式：JPG, PNG."
runninghub,全能视频S-文生视频-pro-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766679.md,/openapi/v2/rhart-video-s-official/text-to-video-pro,post,Video,"[""t2v"", ""i2v""]",official_stable,parsed_html,prompt,string,True,[],在极其写实的手工艺工作室中，一位老工匠向吹管吹气，塑造一个发光的熔融玻璃花瓶。花瓶意外在石桌上碎裂，成百上千的碎片以真实的惯性飞溅碰撞，并伴有清脆的玻璃撞击声。玻璃破碎的声音和工匠沉重的叹息声与画面完美同步。摄像机执行缓慢的推近镜头，捕捉工匠饱经风霜的皮肤细节和围裙复杂的织物纹理。专业光影，丰富的环境回声。,,
runninghub,全能视频S-文生视频-pro-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766679.md,/openapi/v2/rhart-video-s-official/text-to-video-pro,post,Video,"[""t2v"", ""i2v""]",official_stable,parsed_html,size,string,True,"[""720x1280"", ""1280x720"", ""1024x1792"", ""1792x1024""]",720x1280,,
runninghub,全能视频S-文生视频-pro-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766679.md,/openapi/v2/rhart-video-s-official/text-to-video-pro,post,Video,"[""t2v"", ""i2v""]",official_stable,parsed_html,duration,string,True,"[""4"", ""8"", ""12""]",12,,
runninghub,全能视频S-图生视频-pro-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766680.md,/openapi/v2/rhart-video-s-official/image-to-video-pro,post,Video,"[""i2v""]",official_stable,parsed_html,prompt,string,True,[],基于参考图，以高保真电影级动态激活场景。一阵强风吹过，使人物的丝绸衣物和散开的发丝随真实的物理规律摆动。人物转身看向摄像机，面部特征和皮肤纹理与原图保持完美一致。,,
