"category","title","url","generation_mode_original","generation_mode_split","input_format","output_format","has_audio","model_guess","matched_system_api_id","matched_system_api_model","matched_system_api_name","matched_system_api_active","match_score","match_method","active_rule_count","total_rule_count","active_rule_modes","gm_covered_by_active_rules","resolution","aspect_ratio","mode","quality","source_sound","source_multi_shots"
"audio","elevenlabs/audio-isolation","https://docs.kie.ai/market/elevenlabs/audio-isolation.md","","","","audio","true","elevenlabs/audio-isolation","291","elevenlabs/audio-isolation","Kie ElevenLabs Audio Isolation","0","106","model_exact+audio","0","0","","false","","","","","",""
"audio","elevenlabs/speech-to-text","https://docs.kie.ai/market/elevenlabs/speech-to-text.md","","","","audio","true","elevenlabs/speech-to-text","293","elevenlabs/speech-to-text","Kie ElevenLabs Speech-to-Text","0","106","model_exact+audio","0","0","","false","","","","","",""
"audio","elevenlabs/text-to-speech-multilingual-v2","https://docs.kie.ai/market/elevenlabs/text-to-speech-multilingual-v2.md","","","","audio","true","elevenlabs/text-to-speech-multilingual-v2","295","elevenlabs/text-to-speech-multilingual-v2","Kie ElevenLabs TTS Multilingual v2","0","106","model_exact+audio","0","0","","false","","","","","",""
"audio","elevenlabs/text-to-speech-turbo-2-5","https://docs.kie.ai/market/elevenlabs/text-to-speech-turbo-2-5.md","","","","audio","true","elevenlabs/text-to-speech-turbo-2-5","296","elevenlabs/text-to-speech-turbo-2-5","Kie ElevenLabs TTS Turbo 2.5","0","106","model_exact+audio","0","0","","false","","","","","",""
"audio","Infinitalk - From Audio","https://docs.kie.ai/market/infinitalk/from-audio.md","image-to-video","image-to-video","image","audio","true","infinitalk/from-audio","314","infinitalk/from-audio","Kie Infinitalk From Audio","0","106","model_exact+audio","0","0","","false","480p","","","","",""
"chat","Claude Opus 4.5","https://docs.kie.ai/market/claude/claude-opus-4-5.md","chat","chat","text","text","","claude/claude-opus-4-5","280","claude-opus-4-5","Kie Claude Opus 4.5","0","82","model_partial+output+gm","0","0","","false","","","","","",""
"chat","Claude Sonnet 4.5","https://docs.kie.ai/market/claude/claude-sonnet-4-5.md","chat","chat","text","text","","claude/claude-sonnet-4-5","282","claude-sonnet-4-5","Kie Claude Sonnet 4.5","0","82","model_partial+output+gm","0","0","","false","","","","","",""
"chat","Gemini  2.5 Pro","https://docs.kie.ai/market/gemini/gemini-2-5-pro.md","chat","chat","text","text","","gemini-2-5-pro","","","","","22","no_confident_match","0","0","","false","","","","","",""
"chat","Gemini 2.5 Flash","https://docs.kie.ai/market/gemini/gemini-2-5-flash.md","chat","chat","text","text","","gemini-2-5-flash","","","","","22","no_confident_match","0","0","","false","","","","","",""
"chat","Gemini 3 Pro","https://docs.kie.ai/market/gemini/gemini-3-pro.md","chat","chat","text","text","","gemini-3-pro","287","gemini-3-pro","Kie Gemini 3 Pro","0","122","model_exact+output+gm","1","1","","true","","","","","",""
"chat","GPT-5-2","https://docs.kie.ai/market/chat/gpt-5-2.md","chat","chat","text","text","","chat/gpt-5-2","288","gpt-5-2","Kie GPT-5-2","0","82","model_partial+output+gm","1","1","","true","","","","","",""
"image","Flux-2 - Image to Image","https://docs.kie.ai/market/flux2/flex-image-to-image.md","image-to-image","image-edit","image","image","","flux-2/flex-image-to-image","240","flux-2/flex-image-to-image","Kie Flux2 Flex I2I (Canonical)","0","132","model_exact+category+output","0","0","","false","1K","1:1","","","",""
"image","Flux-2 - Pro Image to Image","https://docs.kie.ai/market/flux2/pro-image-to-image.md","image-to-image","image-edit","image","image","","flux-2/pro-image-to-image","242","flux-2/pro-image-to-image","Kie Flux2 Pro I2I (Canonical)","0","132","model_exact+category+output","0","0","","false","1K","1:1","","","",""
"image","Flux-2 - Pro Text to Image","https://docs.kie.ai/market/flux2/pro-text-to-image.md","text-to-image","text-to-image","text","image","","flux-2/pro-text-to-image","243","flux-2/pro-text-to-image","Kie Flux2 Pro T2I (Canonical)","0","132","model_exact+category+output","0","0","","false","1K","1:1","","","",""
"image","Flux-2 - Text to Image","https://docs.kie.ai/market/flux2/flex-text-to-image.md","text-to-image","text-to-image","text","image","","flux-2/flex-text-to-image","241","flux-2/flex-text-to-image","Kie Flux2 Flex T2I (Canonical)","0","132","model_exact+category+output","0","0","","false","1K","1:1","","","",""
"image","Generate 4o Image","https://docs.kie.ai/4o-image-api/generate-4-o-image.md","text-to-image","text-to-image","text","image","","gpt4o-image","254","gpt4o-image","Kie 4o Image","0","132","model_exact+category+output","1","1","","true","","","","","",""
"image","Generate or Edit Image","https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md","image-to-image","image-edit","image","image","","flux/kontext","","","","","32","no_confident_match","0","0","","false","","","","","",""
"image","Google - imagen4","https://docs.kie.ai/market/google/imagen4.md","","","","image","","google/imagen4","245","google/imagen4","Kie Google Imagen4","0","132","model_exact+category+output","1","1","","true","","1:1","","","",""
"image","Google - imagen4-fast","https://docs.kie.ai/market/google/imagen4-fast.md","","","","image","","google/imagen4-fast","246","google/imagen4-fast","Kie Google Imagen4 Fast (Canonical)","0","132","model_exact+category+output","1","1","","true","","16:9","","","",""
"image","Google - imagen4-ultra","https://docs.kie.ai/market/google/imagen4-ultra.md","","","","image","","google/imagen4-ultra","247","google/imagen4-ultra","Kie Google Imagen4 Ultra (Canonical)","0","132","model_exact+category+output","1","1","","true","","1:1","","","",""
"image","GPT Image-1.5 - Image to Image","https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md","image-to-image","image-edit","image","image","","gpt-image/1-5-image-to-image","252","gpt-image/1-5-image-to-image","Kie GPT Image 1.5 I2I","0","132","model_exact+category+output","3","3","image-to-image","true","","3:2","","","",""
"image","GPT Image-1.5 - Text to Image","https://docs.kie.ai/market/gpt-image/1-5-text-to-image.md","text-to-image","text-to-image","text","image","","gpt-image/1-5-text-to-image","253","gpt-image/1-5-text-to-image","Kie GPT Image 1.5 T2I","0","132","model_exact+category+output","3","3","text-to-image","true","","1:1","","","",""
"image","Grok Imagine - image to image","https://docs.kie.ai/market/grok-imagine/image-to-image.md","image-to-image","image-edit","image","image","","grok-imagine/image-to-image","256","grok-imagine/image-to-image","Kie Grok Imagine I2I (Canonical)","0","132","model_exact+category+output","1","1","","true","","","","","",""
"image","Grok Imagine - Text to Image","https://docs.kie.ai/market/grok-imagine/text-to-image.md","text-to-image","text-to-image","text","image","","grok-imagine/text-to-image","257","grok-imagine/text-to-image","Kie Grok Imagine T2I (Canonical)","0","132","model_exact+category+output","2","2","text-to-image","true","","3:2","","","",""
"image","Ideogram - Character","https://docs.kie.ai/market/ideogram/character.md","","","","image","","ideogram/character","260","ideogram/character","Kie Ideogram Character","0","132","model_exact+category+output","4","4","image-to-image","true","","","","","",""
"image","Ideogram - Character Edit","https://docs.kie.ai/market/ideogram/character-edit.md","image-to-image","image-edit","image","image","","ideogram/character-edit","261","ideogram/character-edit","Kie Ideogram Character Edit","0","132","model_exact+category+output","4","4","image-to-image","true","","","","","",""
"image","Ideogram - Character Remix","https://docs.kie.ai/market/ideogram/character-remix.md","","","","image","","ideogram/character-remix","262","ideogram/character-remix","Kie Ideogram Character Remix","0","132","model_exact+category+output","4","4","image-to-image","true","","","","","",""
"image","Ideogram - V3 Reframe","https://docs.kie.ai/market/ideogram/v3-reframe.md","image-to-image","image-edit","image","image","","ideogram/v3-reframe","263","ideogram/v3-reframe","Kie Ideogram V3 Reframe","0","132","model_exact+category+output","4","4","image-to-image","true","","","","","",""
"image","Qwen - Image Edit","https://docs.kie.ai/market/qwen/image-edit.md","image-to-image","image-edit","image","image","","qwen/image-edit","267","qwen/image-edit","Kie Qwen Edit (Canonical)","0","132","model_exact+category+output","1","1","","true","","","","","",""
"image","Qwen - Image to Image","https://docs.kie.ai/market/qwen/image-to-image.md","image-to-image","image-edit","image","image","","qwen/image-to-image","268","qwen/image-to-image","Kie Qwen I2I (Canonical)","0","132","model_exact+category+output","1","1","","true","","","","","",""
