field_path,scope,allow_override_to,reason
paths.post.model,project,none,按当前策略统一归到项目级，便于项目内统一路由
paths.post.input.mode,settings,project,mode 应按 provider+model 绑定配置在 Settings 中，并允许项目覆盖
paths.post.input.quality,project,none,按当前策略统一归到项目级，便于项目内统一质量策略
paths.post.input.style,project,none,按当前策略统一归到项目级，便于项目内统一风格
paths.post.input.output_format,settings,project,输出格式偏好长期稳定，分镜通常不单独改
paths.post.input.safety_tolerance,project,none,按当前策略统一归到项目级，便于项目内统一安全阈值
paths.post.input.voice,project,none,按当前策略统一归到项目级，便于项目内统一音色人设
paths.post.reasoning_effort,project,none,按当前策略统一归到项目级，便于项目内统一推理成本
paths.post.input.aspect_ratio,project,none,按当前策略统一归到项目级，便于项目内统一画幅
paths.post.input.resolution,project,none,按当前策略统一归到项目级，便于项目内统一分辨率
paths.post.input.size,project,none,按当前策略统一归到项目级，便于项目内统一尺寸
paths.post.input.image_resolution,project,none,按当前策略统一归到项目级，便于项目内统一清晰度
paths.post.input.image_size,project,none,按当前策略统一归到项目级，便于项目内统一图像尺寸
paths.post.input.upscale_factor,project,none,按当前策略统一归到项目级，便于项目内统一放大倍率
paths.post.input.character_orientation,project,none,按当前策略统一归到项目级，便于项目内统一角色朝向
paths.post.input.duration,project,none,按当前策略统一归到项目级，便于项目内统一时长策略
paths.post.input.n_frames,project,none,按当前策略统一归到项目级，便于项目内统一帧数策略
paths.post.input.num_images,project,none,按当前策略统一归到项目级，便于项目内统一出图张数
